View Profile Duration,Number of Action,Label
1.01,7,1
0.84,5,1
2.29,2,1
2,0,1
4.74,4,1
1.07,1,1
0.72,1,1
0.48,9,1
0,9,1
2.86,4,1
0.43,7,1
3.46,9,1
4.71,0,1
2.63,5,1
3.48,0,1
2.67,7,1
4.77,4,1
3.48,7,1
4.82,6,1
1.11,0,1
2.79,10,1
2.56,3,1
0.59,1,1
1.2,7,1
0.08,9,1
4.01,9,1
3.98,8,1
1.68,10,1
1.71,9,1
0.65,5,1
2.85,2,1
4.05,9,1
3.6,1,1
2.29,1,1
1.23,4,1
3.98,7,1
1.58,0,1
3.59,2,1
1.79,8,1
2.99,7,1
1.64,5,1
2.07,7,1
4.41,8,1
3.57,7,1
2.16,7,1
2.56,10,1
4.01,1,1
0.42,1,1
5,9,1
1.96,10,1
2.33,1,1
0.62,5,1
1.61,6,1
4.04,3,1
0,0,1
0,8,1
25.47,0,-1
14.63,5,-1
33.23,4,-1
2.99,5,-1
1.72,4,-1
17.94,0,-1
27.33,3,-1
0,1,-1
19.24,3,-1
26.27,5,-1
15.76,1,-1
13.52,0,-1
34.15,5,-1
1.31,3,-1
2.47,4,-1
17.91,0,-1
0,0,-1
16.53,5,-1
32.67,1,-1
0.96,5,-1
32.37,2,-1
30.19,2,-1
12.26,5,-1
17.74,5,-1
34.34,3,-1
19.3,1,-1
34.15,3,-1
1.65,0,-1
0.93,4,-1
24.97,2,-1
28.91,5,-1
21.48,2,-1
21.39,2,-1
37.34,0,-1
11.31,5,-1
31.52,5,-1
29.72,5,-1
5.76,2,-1
6.38,3,-1
13.36,4,-1
13.33,4,-1
10.33,3,-1
16.28,5,-1
14,2,-1
26.25,5,-1
39.41,5,-1
23.49,5,-1
30.74,3,-1
11.22,0,-1
12.41,2,-1
10.42,1,-1
11.24,2,-1
5.52,3,-1
22.87,2,-1
2.83,0,-1
7.48,3,-1
